actor_name,href,oscar,movie_name,sag,golden_globe_drama,golden_globe_mc,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Denzel Washington,https://en.wikipedia.org/wiki/Denzel_Washington,0,Malcolm X,0,0,0,0,0,0,0,PG-13,7.7,72,202,1992,4,7.5,Warner Bros.,48169910,Period,48169910
Tom Hanks,https://en.wikipedia.org/wiki/Tom_Hanks,1,Philadelphia,0,1,0,0,0,0,0,PG-13,7.7,66,125,1993,3.8,6.6,TriStar,77446440,Drama,206678440
Daniel Day-Lewis,https://en.wikipedia.org/wiki/Daniel_Day-Lewis,0,In the Name of the Father,0,0,0,0,0,0,0,R,8.1,84,133,1993,4,7.8,Universal,25096862,Thriller,65796862
Laurence Fishburne,https://en.wikipedia.org/wiki/Laurence_Fishburne,0,What's Love Got to Do with It,0,0,0,0,0,0,0,R,7.2,74,118,1993,3.6,7.5,Buena Vista,39100956,Musical,39100956
Anthony Hopkins,https://en.wikipedia.org/wiki/Anthony_Hopkins,0,The Remains of the Day,0,0,0,0,0,0,1,PG,7.9,84,134,1993,3.9,8.4,Columbia,23237911,Period,23237911
Liam Neeson,https://en.wikipedia.org/wiki/Liam_Neeson,0,Schindler's List,0,0,0,0,0,0,0,A,8.9,93,195,1993,4.3,9,Universal,96065768,War,321306305
Tom Hanks,https://en.wikipedia.org/wiki/Tom_Hanks,1,Forrest Gump,1,1,0,0,0,0,1,PG-13,8.8,82,142,1994,4.2,7.2,Paramount,330252182,Comedy,677945399
Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,0,The Shawshank Redemption,0,0,0,0,0,0,0,UA,9.3,80,142,1994,4.5,8.2,Columbia,28341469,Period,28341469
Nigel Hawthorne,https://en.wikipedia.org/wiki/Nigel_Hawthorne,0,The Madness of King George,0,0,0,1,0,0,0,PG-13,7.2,89,104,1994,3.6,7.8,Samuel Goldwyn,15238689,Period,15238689
Paul Newman,https://en.wikipedia.org/wiki/Paul_Newman,0,Nobody's Fool,0,0,0,0,0,0,0,R,7.4,86,110,1994,3.8,7.7,Paramount,39491975,Comedy,39491975
John Travolta,https://en.wikipedia.org/wiki/John_Travolta,0,Pulp Fiction,0,0,0,0,0,0,0,A,8.9,94,154,1994,4.2,9.1,Miramax,107928762,Crime,213928762
