movie_name,href,oscar,critics_choice,sag,bafta,pga,dga,golden_globe_mc,golden_globe_drama,wga_as,wga_os,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Traffic,https://en.wikipedia.org/wiki/Traffic_(2000_film),0,0,1,0,0,0,0,0,1,0,R,7.6,86,147,2000,3.6,8.1,USA Films,124115725,Crime,207515725
A Beautiful Mind,https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),1,1,0,0,0,1,0,1,1,0,PG-13,8.2,72,135,2001,3.9,7.2,Universal,170742341,Period,313542341
Gosford Park,https://en.wikipedia.org/wiki/Gosford_Park,0,0,1,0,0,0,0,0,0,1,R,7.3,90,131,2001,3.5,7.5,USA Films,41308615,Period,87754044
In the Bedroom,https://en.wikipedia.org/wiki/In_the_Bedroom,0,0,0,0,0,0,0,0,0,0,R,7.5,86,130,2001,3.8,7.9,Miramax,35930604,Drama,43368779
The Lord of the Rings: The Fellowship of the Ring,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,0,0,0,1,0,0,0,0,0,0,PG-13,8.8,92,178,2001,4.2,8.2,New Line,315544750,Fantasy,871530324
Moulin Rouge!,https://en.wikipedia.org/wiki/Moulin_Rouge!,0,0,0,0,1,0,1,0,0,0,PG-13,7.6,66,127,2001,3.8,7.1,Fox,57386607,Musical,179213434
Chicago,https://en.wikipedia.org/wiki/Chicago_(2002_film),1,1,1,0,1,1,1,0,0,0,PG-13,7.2,82,113,2002,3.5,8,Miramax,170687518,Musical,306776732
Gangs of New York,https://en.wikipedia.org/wiki/Gangs_of_New_York,0,0,0,0,0,0,0,0,0,0,A,7.5,72,167,2002,3.5,7.1,Miramax,77812000,Crime,193772504
The Hours,https://en.wikipedia.org/wiki/The_Hours_(film),0,0,0,0,0,0,0,0,1,0,PG-13,7.6,80,110,2002,3.8,7.4,Paramount,41675994,Drama,108846072
The Lord of the Rings: The Two Towers,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers,0,0,0,0,0,0,0,0,0,0,PG-13,8.7,87,179,2002,4.2,8.5,New Line,342551365,Fantasy,926047111
The Pianist,https://en.wikipedia.org/wiki/The_Pianist_(2002_film),0,0,0,1,0,0,0,0,0,0,R,8.5,85,150,2002,4.2,8.2,Focus Features,32572577,War,120072577
The Lord of the Rings: The Return of the King,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,1,1,1,1,1,1,0,1,0,0,PG-13,8.9,94,201,2003,3.8,8.7,New Line,377845905,Fantasy,1119929521
Lost in Translation,https://en.wikipedia.org/wiki/Lost_in_Translation_(film),0,0,0,0,0,0,1,0,0,1,R,7.8,89,102,2003,3.6,8.4,Focus Features,44585453,Comedy,119723856
Master and Commander: The Far Side of the World,https://en.wikipedia.org/wiki/Master_and_Commander:_The_Far_Side_of_the_World,0,0,0,0,0,0,0,0,0,0,PG-13,7.4,81,138,2003,3.5,7.6,Fox,93927920,War,212011111
Mystic River,https://en.wikipedia.org/wiki/Mystic_River_(film),0,0,0,0,0,0,0,0,0,0,A,8,84,138,2003,3.8,7.8,Warner Bros.,90135191,Crime,156822020
