director_name,href,oscar,movie_name,golden_globe,bafta,critics_choice,dga,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Adam McKay,https://en.wikipedia.org/wiki/Adam_McKay,0,The Big Short,0,0,0,0,0,0,R,7.8,81,130,2015,4.2,7.8,Paramount,70259870,Drama,133440870
George Miller,https://en.wikipedia.org/wiki/George_Miller_(director),0,Mad Max: Fury Road,0,0,1,0,0,0,UA,8.1,90,120,2015,4.2,8.6,Warner Bros.,154058340,Sci-Fi,378858340
Damien Chazelle,https://en.wikipedia.org/wiki/Damien_Chazelle,1,La La Land,1,1,1,1,0,0,A,8.1,93,128,2016,4.2,8.7,Summit Entertainment,151101803,Musical,446090184
Mel Gibson,https://en.wikipedia.org/wiki/Mel_Gibson,0,Hacksaw Ridge,0,0,0,0,1,0,R,8.2,71,139,2016,4.3,7.2,Lions Gate,67209615,Action,175302354
Barry Jenkins,https://en.wikipedia.org/wiki/Barry_Jenkins,0,Moonlight,0,0,0,0,0,1,R,7.5,99,111,2016,4,9,A24,27854932,Drama,65046687
Kenneth Lonergan,https://en.wikipedia.org/wiki/Kenneth_Lonergan,0,Manchester by the Sea,0,0,0,0,1,0,R,7.9,96,137,2016,4,8.8,Roadside Attractions,47695371,Drama,77540122
Denis Villeneuve,https://en.wikipedia.org/wiki/Denis_Villeneuve,0,Arrival,0,0,0,0,0,0,UA,7.9,81,116,2016,4,8.4,Paramount,100546139,Sci-Fi,203388186
Paul Thomas Anderson,https://en.wikipedia.org/wiki/Paul_Thomas_Anderson,0,Phantom Thread,0,0,0,0,0,0,R,7.9,90,130,2017,3.8,8.5,Focus Features,18152094,Drama,32252094
Guillermo del Toro,https://en.wikipedia.org/wiki/Guillermo_del_Toro,0,The Shape of Water,1,1,1,1,0,0,R,7.8,87,123,2017,3.9,8.4,Fox Searchlight,54480844,Fantasy,95762358
Greta Gerwig,https://en.wikipedia.org/wiki/Greta_Gerwig,0,Lady Bird,0,0,0,0,0,1,R,7.7,94,94,2017,4,8.7,A24,46632130,Comedy,52232130
Christopher Nolan,https://en.wikipedia.org/wiki/Christopher_Nolan,0,Dunkirk,0,0,0,0,0,0,PG-13,8,94,106,2017,4,8.6,Warner Bros.,188373161,War,525573161
Jordan Peele,https://en.wikipedia.org/wiki/Jordan_Peele,0,Get Out,0,0,0,0,1,0,R,7.7,84,104,2017,4.2,8.3,Universal,176040665,Horror,255017329
