actor_name,href,oscar,movie_name,sag,golden_globe,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Jonah Hill,https://en.wikipedia.org/wiki/Jonah_Hill,0,The Wolf of Wall Street,0,0,0,0,0,0,A,8.2,75,180,2013,4,7.8,Paramount,116900694,Drama,392000694
J. K. Simmons,https://en.wikipedia.org/wiki/J._K._Simmons,1,Whiplash,1,1,1,1,1,0,A,8.5,88,107,2014,4.5,8.6,Sony Classics,13092000,Drama,48982041
Robert Duvall,https://en.wikipedia.org/wiki/Robert_Duvall,0,The Judge,0,0,0,0,0,0,R,7.4,48,141,2014,3.9,5.6,Warner Bros.,47119388,Drama,84419388
Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke,0,Boyhood,0,0,0,0,0,0,A,7.9,100,165,2014,4,9.2,IFC,25352281,Drama,44495281
Edward Norton,https://en.wikipedia.org/wiki/Edward_Norton,0,Birdman,0,0,0,0,0,1,A,7.8,88,119,2014,4,8.5,Fox Searchlight,42340598,Comedy,103215094
Mark Ruffalo,https://en.wikipedia.org/wiki/Mark_Ruffalo,0,Foxcatcher,0,0,0,0,0,0,R,7,81,134,2014,3.5,7.9,Sony Classics,12096300,Drama,12096300
Mark Rylance,https://en.wikipedia.org/wiki/Mark_Rylance,1,Bridge of Spies,0,0,1,0,0,0,PG-13,7.6,81,142,2015,4,7.7,Buena Vista,72313754,Thriller,165478348
Christian Bale,https://en.wikipedia.org/wiki/Christian_Bale,0,The Big Short,0,0,0,0,1,0,R,7.8,81,130,2015,4.2,7.8,Paramount,70259870,Drama,133440870
Tom Hardy,https://en.wikipedia.org/wiki/Tom_Hardy,0,The Revenant,0,0,0,0,0,0,A,8,76,156,2015,4.2,7.9,Fox,183637894,Action,532950503
Mark Ruffalo,https://en.wikipedia.org/wiki/Mark_Ruffalo,0,Spotlight,0,0,0,0,0,0,R,8.1,93,128,2015,4.3,8.8,Open Road Films,45055776,Drama,88346473
Sylvester Stallone,https://en.wikipedia.org/wiki/Sylvester_Stallone,0,Creed,0,1,0,1,0,1,A,7.6,82,133,2015,4.2,7.9,Warner Bros. (New Line),109767581,Drama,173567581
Mahershala Ali,https://en.wikipedia.org/wiki/Mahershala_Ali,1,Moonlight,1,0,0,1,0,0,R,7.5,99,111,2016,4,9,A24,27854932,Drama,65046687
Jeff Bridges,https://en.wikipedia.org/wiki/Jeff_Bridges,0,Hell or High Water,0,0,0,0,1,1,R,7.6,88,102,2016,4.2,8.5,Lions Gate,27007844,Action,37879877
Lucas Hedges,https://en.wikipedia.org/wiki/Lucas_Hedges,0,Manchester by the Sea,0,0,0,0,0,0,R,7.9,96,137,2016,4,8.8,Roadside Attractions,47695371,Drama,77540122
Dev Patel,https://en.wikipedia.org/wiki/Dev_Patel,0,Lion,0,0,1,0,0,0,PG-13,8.1,69,118,2016,4.3,7.3,Weinstein Company,51738905,Drama,140312928
Michael Shannon,https://en.wikipedia.org/wiki/Michael_Shannon,0,Nocturnal Animals,0,0,0,0,0,0,R,7.5,67,116,2016,3.8,7,Focus Features,10663357,Thriller,30311857
Willem Dafoe,https://en.wikipedia.org/wiki/Willem_Dafoe,0,The Florida Project,0,0,0,0,0,1,R,7.7,92,111,2017,3.9,8.8,A24,5863434,Drama,5863434
Woody Harrelson,https://en.wikipedia.org/wiki/Woody_Harrelson,0,"Three Billboards Outside Ebbing, Missouri",0,0,0,0,0,0,R,8.3,88,115,2017,4.2,8.5,Fox Searchlight,49189579,Crime,114644508
Richard Jenkins,https://en.wikipedia.org/wiki/Richard_Jenkins,0,The Shape of Water,0,0,0,0,0,0,R,7.8,87,123,2017,3.9,8.4,Fox Searchlight,54480844,Fantasy,95762358
